title	imdbId	fRatings	mRatings	Ratio	Gender_Ratio
Mutant Chronicles (2008)	490181	0	57	0	0
Solomon Kane (2009)	970452	0	51	0	0
Foot Fist Way, The (2006)	492619	0	46	0	0
Batman: Year One (2011)	1672723	0	45	0	0
Thick as Thieves (a.k.a. Code, The) (2009)	1112782	0	37	0	0
Mr. Turner (2014)	2473794	0	37	0	0
Big Stan (2007)	490086	0	36	0	0
Machete Kills (Machete 2) (2013)	2002718	0	34	0	0
Bobby Fischer Against the World (2011)	1777551	0	32	0	0
Hunter, The (2011)	1703148	0	31	0	0
Behind the Mask: The Rise of Leslie Vernon (2006)	437857	0	30	0	0
All-Star Superman (2011)	1699114	0	30	0	0
Slow West (2015)	3205376	0	30	0	0
American Hardcore (2006)	419434	0	27	0	0
Justice League: Doom (2012) 	2027128	0	26	0	0
Elementary Particles, The (Elementarteilchen) (2006)	430051	0	25	0	0
Fighting (2009)	1082601	0	25	0	0
Terra (a.k.a. Battle for Terra) (2007)	858486	0	25	0	0
Happy People: A Year in the Taiga (2010)	1683876	0	25	0	0
Ironclad (2011)	1233301	0	25	0	0
TPB AFK: The Pirate Bay Away from Keyboard (2013)	2608732	0	25	0	0
Justice League: The New Frontier (2008) 	902272	0	24	0	0
Time Lapse (2014)	2669336	0	24	0	0
Beowulf (1999)	120604	0	23	0	0
Project A ('A' gai waak) (1983)	85127	0	23	0	0
Superman/Batman: Public Enemies (2009)	1398941	0	23	0	0
Colony, The (2013)	1160996	0	23	0	0
Objectified (2009)	1241325	0	22	0	0
My Son, My Son, What Have Ye Done (2009)	1233219	0	22	0	0
Brass Teapot, The (2012)	1935902	0	22	0	0
Justice League: Crisis on Two Earths (2010)	1494772	0	22	0	0
Particle Fever (2013)	1385956	0	22	0	0
Innocent Blood (1992)	104511	0	21	0	0
Pentagon Wars, The (1998)	144550	0	21	0	0
Business, The (2005)	429715	0	21	0	0
Far Cry (2008)	400426	0	21	0	0
Were the World Mine (2008)	476991	0	21	0	0
Knights of Badassdom (2013)	1545660	0	21	0	0
Son of Batman (2014)	3139072	0	21	0	0
Salvation, The (2014)	2720680	0	21	0	0
Swiss Army Man (2016)	4034354	0	21	0	0
Trinity and Beyond (1995)	114728	0	20	0	0
Woods, The (2006)	380066	0	20	0	0
Sleep Tight (Mientras duermes) (2011)	1437358	0	20	0	0
Superman/Doomsday (2007) 	934706	0	20	0	0
Jackass 3.5 (2011)	1753968	0	20	0	0
Kurt Cobain: Montage of Heck (2015)	4229236	0	20	0	0
Punisher: War Zone (2008)	450314	1	82	0.01204819277	0.0273822563
Valhalla Rising (2009)	862467	1	56	0.01754385965	0.03987240829
Focus (2015)	2381941	1	56	0.01754385965	0.03987240829
Starship Troopers 3: Marauder (2008)	844760	1	51	0.01923076923	0.04370629371
3 Days to Kill (2014)	2172934	1	50	0.01960784314	0.04456327986
Astro Boy (2009)	375568	1	49	0.02	0.04545454545
Sin City: A Dame to Kill For (2014)	458481	2	96	0.02040816327	0.04638218924
Black Dynamite (2009)	1190536	2	87	0.02247191011	0.05107252298
Defendor (2009)	1303828	2	85	0.02298850575	0.05224660397
Mike's New Car (2002)	323250	1	40	0.0243902439	0.05543237251
Warrior's Way, The (2010)	1032751	1	39	0.025	0.05681818182
Derrida (2002)	303326	1	35	0.02777777778	0.06313131313
Lebanon (2009)	1483831	1	33	0.02941176471	0.06684491979
Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004)	416716	1	33	0.02941176471	0.06684491979
Justice League: The Flashpoint Paradox (2013)	2820466	1	33	0.02941176471	0.06684491979
Hobo with a Shotgun (2011)	1640459	2	64	0.0303030303	0.06887052342
Curse of the Demon (Night of the Demon) (1957)	50766	1	32	0.0303030303	0.06887052342
Afro Samurai: Resurrection (2009)	1265998	1	32	0.0303030303	0.06887052342
Best Worst Movie (2009)	1144539	1	32	0.0303030303	0.06887052342
Burke and Hare (2010)	1320239	1	32	0.0303030303	0.06887052342
Stake Land (2010)	1464580	1	32	0.0303030303	0.06887052342
Signal, The (2014)	2910814	1	32	0.0303030303	0.06887052342
Self/less (2015)	2140379	1	32	0.0303030303	0.06887052342
Driver, The (1978)	77474	1	31	0.03125	0.07102272727
Dam Busters, The (1955)	46889	1	31	0.03125	0.07102272727
Gentlemen Broncos (2009)	1161418	1	31	0.03125	0.07102272727
Blood: The Last Vampire (2009)	806027	1	31	0.03125	0.07102272727
Superman/Batman: Apocalypse (2010)	1673430	1	31	0.03125	0.07102272727
Runner Runner (2013)	2364841	1	31	0.03125	0.07102272727
Green Lantern: First Flight (2009)	1384590	2	61	0.03174603175	0.07215007215
Friends of Eddie Coyle, The (1973)	70077	1	30	0.03225806452	0.07331378299
Boy (2010)	1560139	1	30	0.03225806452	0.07331378299
The Gambler (2014)	2039393	1	30	0.03225806452	0.07331378299
Project Almanac (2015)	2436386	1	30	0.03225806452	0.07331378299
Stand, The (1994)	108941	1	29	0.03333333333	0.07575757576
Signal, The (2007)	780607	1	29	0.03333333333	0.07575757576
Slammin' Salmon, The (2009)	1135525	1	29	0.03333333333	0.07575757576
Middle Men (2009)	1251757	1	29	0.03333333333	0.07575757576
Immortals (2011)	1253864	3	85	0.03409090909	0.07747933884
Donkey Punch (2008)	988849	1	28	0.03448275862	0.07836990596
The Voices (2014)	1567437	1	28	0.03448275862	0.07836990596
Now You See Me 2 (2016)	3110958	1	28	0.03448275862	0.07836990596
Batman: Under the Red Hood (2010)	1569923	3	83	0.03488372093	0.07928118393
Hijacking, A (Kapringen) (2012)	2216240	1	27	0.03571428571	0.08116883117
Sabotage (2014)	1742334	1	27	0.03571428571	0.08116883117
Unthinkable (2010)	914863	4	107	0.03603603604	0.0819000819
Outlander (2008)	462465	3	80	0.03614457831	0.08214676889
Killer Elite (2011)	1448755	3	80	0.03614457831	0.08214676889
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009)	860906	2	53	0.03636363636	0.0826446281
Family, The (2013)	2404311	2	53	0.03636363636	0.0826446281
District 13: Ultimatum (Banlieue 13 - Ultimatum) (2009)	1247640	2	52	0.03703703704	0.08417508418
Branded to Kill (Koroshi no rakuin) (1967)	61882	1	26	0.03703703704	0.08417508418
Babylon 5	105946	1	26	0.03703703704	0.08417508418
Election (Hak se wui) (2005)	434008	1	26	0.03703703704	0.08417508418
Tokyo Gore Police (Tôkyô zankoku keisatsu) (2008)	1183732	1	26	0.03703703704	0.08417508418
Numbers Station, The (2013)	1659338	1	26	0.03703703704	0.08417508418
Black Sea (2015)	2261331	1	26	0.03703703704	0.08417508418
McFarland, USA (2015)	2097298	1	26	0.03703703704	0.08417508418
Prayer for the Dying, A (1987)	93771	1	25	0.03846153846	0.08741258741
Ricochet (1991)	102789	1	25	0.03846153846	0.08741258741
All Watched Over by Machines of Loving Grace (2011)	1955162	1	25	0.03846153846	0.08741258741
Welcome to the Punch (2013)	1684233	1	25	0.03846153846	0.08741258741
V/H/S/2 (2013)	2450186	1	25	0.03846153846	0.08741258741
Tusk (2014)	3099498	1	25	0.03846153846	0.08741258741
47 Ronin (2013)	1335975	3	74	0.03896103896	0.08854781582
Ghost Rider: Spirit of Vengeance (2012)	1071875	2	48	0.04	0.09090909091
Run All Night (2015)	2199571	2	48	0.04	0.09090909091
Rogue (2007)	479528	1	24	0.04	0.09090909091
Captain Mike Across America (Slacker Uprising) (2007)	850669	1	24	0.04	0.09090909091
Silent Partner, The (1978)	78269	1	24	0.04	0.09090909091
Casino Jack and the United States of Money (2010)	1540814	1	24	0.04	0.09090909091
Facing Ali (2009)	1419318	1	24	0.04	0.09090909091
Pervert's Guide to Ideology, The (2012)	2152198	1	24	0.04	0.09090909091
Rover, The (2014)	2345737	1	24	0.04	0.09090909091
