names	clusters
April	2
August	2
Art	8
A	1
Air	7
Autonomous communities of Spain	2
Alan Turing	8
Adobe Illustrator	3
Andouille	5
Arithmetic	0
Addition	0
Australia	2
American English	1
Aquaculture	5
Abbreviation	1
Angel	8
Ad hominem	8
Native American	2
Apple	5
Abrahamic religion	8
Algebra	0
Atom	7
Architecture	8
Anatomy	5
Asteroid	7
Afghanistan	2
Angola	2
Argentina	2
Austria	2
Armenia	2
Application	3
Animal	5
Acceleration	0
Black pudding	5
Boot device	3
Boot	9
Bankruptcy	2
Breakfast sausage	5
Browser	3
Beekeeping	5
British English	1
Being	8
Beijing	2
Berry	5
Boil	9
Beard	9
Black	9
Biology	5
Botany	5
Belgium	2
Brazil	2
Chemistry	0
Compound	9
Computer	3
Chinese	2
Continent	4
China	2
Country	2
Colchester	6
Cartography	0
Creator	8
Contact network	0
Chorizo	5
Creativity	8
Catharism	8
Cosmology	0
Cooking	5
Chat	3
Cup	9
Crime	8
Time Cube	8
Census of Marine Life	0
Maize	5
Civics	8
Calculus	0
Conceptual metaphor	8
Crust	9
Comedy	2
Comet	7
Cytology	5
Christian	8
Cheese	5
Constitution	2
Capitalization	1
Cuba	2
Cube	7
Cost of living	8
December	2
Dublin	2
Dissolution of the monasteries	8
Dutton's Speedwords	1
Devil	8
Diarrhea	5
Dimension	0
Distance	7
Depth	7
Dictionary	1
Definition	0
Denmark	2
Death	8
Diesel-electric	9
Embassy	2
Encyclopedia	1
Earth	7
Et cetera	1
Ethics	8
E Prime	1
English	1
Ethnic group	2
Ewe	1
Ebola virus	5
Economics	8
Chemical element	7
Egypt	2
Everything2	3
Editor	3
Experience economy	0
Flesch Reading Ease	1
February	2
FAQ	3
Flame (disambiguation)	1
Financial capital	8
Fecund universes	0
Food	5
Frying	5
Fish	5
Foot	9
France	2
Finland	2
Fruit	5
Farm	5
Geography	0
Good	8
Goodness	8
Grammar	1
Great Lakes	4
GNU Free Documentation License	3
Glass	9
God	8
Ghost	8
Green	9
God's eye view	8
Google	3
Gallon	7
Government	2
Galaxy	7
Geometry	0
Graph theory	0
Goatee	9
Herm	4
History	8
Health	8
Harbor	4
Hawaii	4
Honolulu	4
Hawaii (island)	4
Hawaii Ponoi	4
Healing	8
History of Australia	2
History of Spain	2
Hydrogen	7
Helium	7
Home page	3
Hair	9
Ireland	2
Internet	3
Italy	2
If	1
Island	4
Interim	2
Idiom	1
IELTS	1
Ink	9
Inch	7
Pint	7
Italian	2
ISO 19011	0
India	2
Insult	8
Immunology	5
Infinity	0
January	2
June	2
July	2
Jargon	1
Jupiter	7
King	2
Knowledge	8
Kauai	4
Kahoolawe	4
Killing	8
Language	1
Live	8
Law	8
Ludovic Lazarus Zamenhof	1
List of countries	2
Provinces and territories of Canada	4
Lanai	4
Leap year	2
Leather	9
License	3
Link	3
Library	3
List of mathematics topics	0
Like	8
Political divisions of China	2
Legislature	2
Linear algebra	0
London	6
Litre	2
Mathematics	0
March	2
May	2
Music	2
Montreal	4
Macadamia nut	5
Maui	4
Molokai	4
Money	8
Multiplication	0
Microsoft	3
Islamic world	2
Multiverse	0
MediaWiki	3
First language	1
Mustache	9
Milky Way	7
Movement	0
Metaphor	8
Metabolism	5
Mercury (planet)	7
Mars	7
Mac OS	3
Apple Macintosh	3
Metre	7
Magnifying glass	9
Molecule	7
Moral reasoning	8
Mammal	5
Number	0
November	2
National anthem	2
Name	1
Niihau	4
Nēnē	5
Network	3
Fishing net	5
Internet slang	1
Nauru	2
Noun	1
Nature	8
Negentropy	0
North America	4
Neptune	7
Negative	0
Now	0
New York City	2
October	2
Of	1
1 (number)	0
Oahu	4
Open content	3
Orthography	1
Oil	5
OK	1
Oxymoron	1
Operating system	3
Philosophy	8
Physics	0
Politics	8
Value (personal and cultural)	8
Proof	8
People's Republic of China	2
Political party	2
